label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
# Recording started!
clap,-94.164253,1.368121,-0.168315,1.461987,2.855731,3.788457,1.956899,1.934536,3.114797,1.366855,1.807622,2.398049,0.998060
clap,-95.069565,0.297379,0.814266,3.276746,3.539593,3.459879,3.112600,2.718867,2.895555,1.418494,0.780972,1.595012,1.366793
clap,-94.126343,0.949061,0.460289,2.464228,3.041463,2.941077,2.377250,2.416312,2.761536,1.292863,2.033280,2.081523,1.564063
clap,-94.720558,0.555921,0.115176,2.639155,2.240078,2.904900,3.206394,1.963868,2.938588,2.759883,2.172376,2.558396,1.014719
clap,-95.760208,0.240282,0.922738,3.195462,3.372422,1.924302,2.892239,2.222050,2.575096,2.613521,2.113805,1.960612,1.024554
clap,-95.497749,0.149674,0.056339,2.144213,3.236461,1.976360,1.924341,2.496362,2.314880,0.931031,1.150524,1.036129,0.496140
clap,-95.906960,-0.101780,0.087656,1.599264,2.830042,1.696885,2.520349,1.629018,1.158512,1.285773,0.183931,0.916619,1.245781
clap,3.220822,6.258809,1.554338,-1.963735,-3.232938,-0.807588,0.398514,-1.339569,0.849712,1.568838,0.384376,0.019766,-0.238376
clap,-72.621696,10.033927,2.653889,0.561622,-0.192963,1.896490,1.857172,1.850744,1.458900,2.741750,1.731345,1.299852,0.525721
clap,-48.422230,6.972209,-0.499734,1.586355,-1.006693,-0.591750,0.131898,0.036615,1.831399,0.992064,1.076236,1.317885,0.041319
clap,-86.343987,5.615296,1.809824,1.580931,1.153616,0.964063,1.925933,2.322216,2.481404,1.711782,1.039019,0.714765,-0.542285
clap,-72.111618,9.271718,1.057251,0.736440,-0.622271,-1.259350,-0.040451,0.635269,0.580331,0.410493,1.132102,0.190250,-0.634773
clap,-22.927599,6.829726,3.327235,3.671912,-0.269870,-0.407753,-0.363375,-1.567762,-0.663862,0.943464,-0.516403,-0.212162,-0.197373
clap,-80.891609,7.140158,1.902061,2.691463,3.075703,2.762514,1.471304,0.972790,1.049851,1.319645,1.902037,1.863892,0.569221
clap,-46.278099,10.231290,3.932004,2.508024,0.333734,1.924098,2.031734,-0.057040,-0.539605,-0.194406,1.886510,0.418077,0.637574
clap,-81.135948,8.551167,4.182007,3.173965,3.074282,2.516483,2.344270,1.549383,1.413608,1.021191,0.929743,0.638127,0.358511
