label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
# Recording started!
silence,-92.324905,1.942562,-0.112654,2.761498,2.784172,2.289585,2.993153,2.110966,2.178153,2.113757,1.341679,1.712735,1.810862
silence,-91.693932,2.360031,1.333510,2.703749,3.672663,1.873114,2.522372,1.333363,0.884678,1.842219,0.912842,0.660484,1.368316
silence,-93.110298,1.428128,-0.257159,2.125800,2.501267,1.337770,1.675087,0.986320,0.691711,1.167779,0.832644,1.346965,1.652111
silence,-94.150787,1.241310,-0.545047,2.469521,4.091299,2.900494,1.468102,0.848841,1.404793,0.391485,1.771005,0.898376,0.836147
silence,-89.126671,3.174882,-0.859016,1.208242,1.878457,0.595725,1.773059,1.762626,1.270457,1.419427,1.995335,1.709223,1.498258
silence,-92.377594,0.342637,-1.213279,2.498014,2.404200,1.645772,2.168061,1.959475,1.439325,2.395405,1.861065,1.866661,1.655797
silence,-84.280144,5.813686,4.075338,3.590117,3.039180,2.266660,0.806779,-0.067712,-0.468934,-0.063082,-0.124133,-0.328324,0.213400
silence,-88.571281,0.587909,0.307449,2.352335,3.146404,3.461425,2.576151,1.970377,0.424242,0.927200,0.876329,1.412718,0.879109
silence,-86.546585,1.304228,0.727720,1.165077,2.114022,2.148462,1.696248,1.102122,1.210660,1.108591,1.992588,1.581015,0.778952
silence,-88.420074,1.775909,-0.275306,1.291795,1.842777,2.296267,2.283978,1.549437,1.989079,1.747327,2.055103,0.395459,0.109715
silence,-89.932846,2.330815,1.294532,2.729278,1.700919,1.528147,1.636111,1.810332,2.047047,0.966106,1.085862,0.514595,0.742645
silence,-90.599983,1.924430,0.949802,2.883701,2.549087,0.932674,1.653538,0.852549,0.480375,0.772406,0.749238,0.742091,0.489364
silence,-92.137558,1.531733,-0.638783,1.562218,3.041234,1.802414,1.530630,1.000807,1.704826,1.004837,1.226526,1.016473,0.854110
silence,-94.533401,0.356352,-0.751096,1.744514,2.696746,2.397694,1.629636,0.638824,1.824585,2.138804,2.274086,2.218785,1.386875
silence,-92.841507,2.014215,-0.405222,1.784913,2.801406,2.003031,2.181633,1.465778,1.469864,2.011193,1.590044,1.908167,0.443236
silence,-92.343468,1.785267,-0.579936,2.704305,3.566307,2.107902,0.843127,0.982554,1.120293,0.703152,1.377201,1.396102,1.250735
silence,-93.672218,1.465093,0.335715,2.137084,3.367132,1.669955,1.420952,1.686923,0.877728,0.714177,1.159260,1.335265,0.787339
silence,-92.377548,0.963080,-1.562671,1.734987,3.408635,1.325364,1.386124,0.955932,1.291787,0.973616,1.691009,1.486648,0.423558
silence,-93.757317,1.880782,-0.719915,2.220304,3.347399,1.731676,1.692076,0.898617,0.203421,0.914576,1.666917,1.498983,0.828932
silence,-92.509056,2.116073,-0.053956,1.680422,3.108466,2.050853,2.078167,1.195242,0.889231,1.399918,0.759416,0.926052,0.540520
silence,-94.719551,-0.228109,-0.298494,2.271123,2.786535,0.956499,1.332742,1.923831,1.868155,0.873089,0.145699,0.121969,0.385385
silence,-91.590851,2.096800,-1.088062,0.609769,3.236173,2.037784,1.498741,0.707111,1.247812,1.546364,1.291568,1.240998,0.559350
silence,-93.160553,2.314961,-0.391164,2.237009,2.991932,1.150878,1.059302,1.151002,1.556254,0.907316,1.678994,0.627816,-0.008374
silence,-94.337891,0.884995,-0.985161,0.920322,3.043975,1.611417,2.594717,1.212514,0.961806,1.096899,1.307902,0.775157,0.665355
silence,-94.494255,1.198251,-0.308878,1.885012,3.228138,2.435857,2.262828,0.978666,-0.168910,0.534891,1.607132,0.293278,0.003540
silence,-92.563309,1.932557,-0.393402,1.631539,3.702650,2.413530,0.632466,0.734458,1.352349,0.804928,1.394365,0.767811,0.729222
silence,-94.750175,0.239169,-0.883691,3.129564,4.169112,1.563829,1.412205,1.441608,1.549207,0.897631,0.859233,0.630666,0.723601
silence,-93.350945,0.039409,-1.520522,2.423913,3.314366,1.508452,1.657352,1.814855,1.488910,1.190402,1.351474,1.267004,0.888046
silence,-92.204437,1.691608,-0.412001,1.560016,3.324573,1.578857,-0.371309,0.455153,1.723951,1.307735,1.929039,1.507722,1.314459
silence,-93.529282,0.892085,-0.724048,2.216909,2.948043,1.452323,2.117211,0.842123,1.020092,1.679000,1.464456,1.051624,1.076119
