label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
# Recording started!
snap,-84.592003,1.557630,0.687580,2.906445,4.034470,1.215294,1.811565,2.317574,1.190323,0.357715,1.700153,0.994522,0.750939
snap,-87.726631,3.415145,0.290650,1.982582,3.154788,2.172769,2.069258,0.576194,2.113996,1.714608,-0.008158,1.374023,1.376060
snap,-88.303291,4.948332,1.907768,3.857914,3.479534,2.041752,2.333483,1.619280,2.665129,2.676811,0.960431,0.979100,1.512974
snap,-71.877472,5.127492,0.962183,0.344975,4.984608,2.529599,0.649931,0.480345,3.159388,3.379869,2.098423,1.252662,1.326314
snap,-87.397812,2.699324,0.141929,3.183701,2.954985,3.109720,2.764210,0.871795,1.935120,1.845042,1.058778,1.234024,1.598661
snap,-89.503143,4.120033,0.410842,3.355063,4.132665,4.224980,3.518180,1.841663,2.709188,2.292097,0.496807,0.089431,0.671786
snap,-78.614899,-0.163954,2.598901,6.970432,3.562247,1.984839,4.937783,1.284989,1.346570,2.136482,1.462939,0.481451,0.001977
snap,-85.274231,1.953534,1.271095,1.033631,4.152205,3.237240,1.307519,0.350267,1.572530,1.486446,1.014825,0.014336,0.547045
snap,-88.618690,3.667786,1.117058,4.476519,5.463560,3.837522,2.953591,0.790091,0.804749,1.670886,1.470827,1.017637,1.430080
snap,-90.213966,4.105215,1.515640,4.548738,4.769754,2.988681,3.410470,1.280010,2.341975,2.817030,1.180390,0.917976,1.656515
snap,-70.725746,2.559548,4.155950,4.501508,1.533107,1.505169,2.713932,0.438478,1.324436,0.912548,1.116814,0.457654,0.490904
snap,-84.614342,2.521996,2.091568,1.341280,4.358661,3.504883,2.675547,2.270689,2.141022,2.184050,1.626889,1.133536,1.057177
snap,-84.922905,-1.120019,2.823402,3.186795,2.406887,2.624641,3.290998,2.082608,2.658882,2.436842,1.514533,0.787171,0.267599
snap,-86.450264,5.940381,2.785591,4.542960,4.205774,2.953438,2.972533,1.383777,2.457384,2.700670,0.960029,0.492009,1.220006
snap,-21.316608,1.104165,0.753520,1.655860,4.192900,0.968546,-0.507194,0.071054,1.946668,2.227623,0.559704,0.815045,0.756691
snap,-85.668190,2.435179,2.203639,1.875507,4.285979,3.348233,1.577833,1.276994,1.517650,1.289315,0.884486,1.069564,1.718133
snap,-89.155540,3.085932,1.312457,3.462944,3.765146,3.555615,2.916188,0.267018,1.517282,1.694033,0.739496,1.075374,1.086469
snap,-89.729401,3.505173,0.549149,3.091769,4.810210,4.094545,4.318469,1.297136,1.679535,2.311145,0.973659,0.872538,1.278230
snap,-10.641500,4.252009,3.002764,1.827010,4.713875,-0.139508,0.641774,-0.380942,0.820465,2.206784,-0.680089,0.141531,-0.369904
snap,-84.047348,4.203157,3.000830,2.892686,4.614186,3.099182,2.362617,2.048093,2.766936,2.534413,2.258702,1.267755,1.952058
snap,-85.854988,-0.707819,1.491696,2.902354,2.626566,2.562046,2.536581,-1.089651,1.432628,1.529031,-0.146090,0.462125,1.069823
snap,-89.991524,3.238834,1.120890,4.217295,4.608747,3.645517,3.137114,1.717615,3.021369,2.062956,0.961649,0.901847,1.800698
snap,-2.523877,10.363271,5.833054,3.085747,4.895847,-1.847809,-0.543504,-0.393675,-1.709653,1.211209,0.291964,-1.068469,0.273751
snap,-82.887169,4.861959,3.601948,2.091613,4.213729,3.224039,2.342221,1.888135,3.072819,1.998647,2.371300,1.637888,1.577559
snap,-90.416664,2.928749,1.997166,3.615199,3.603424,3.483714,3.413815,0.922158,1.115014,2.648034,1.588760,1.270191,1.332763
snap,-88.712868,4.688621,1.281196,3.564641,4.241562,3.387673,4.139459,1.908170,3.078275,2.967930,1.435161,1.760188,0.842918
snap,-8.527640,5.820867,5.066934,0.678892,4.695641,-0.892661,0.615393,0.278967,0.215662,0.210325,1.150325,-0.391799,0.036353
snap,-87.749260,1.501820,1.872685,0.869430,5.130546,3.036860,1.101151,1.833505,2.495777,1.473536,0.974364,0.721457,0.626456
snap,-89.835823,4.370418,2.345120,3.491743,4.218036,3.007764,3.280926,1.619773,2.477464,2.687761,1.701009,2.034092,2.102970
snap,-88.734711,3.844600,0.846387,3.496233,4.740510,4.580307,3.937288,2.469921,3.469627,2.617730,0.933043,0.990151,1.318970
snap,-16.768827,7.210653,7.156684,2.071232,5.558723,-1.067969,1.186791,0.745647,-0.146360,-0.238025,-0.135613,-1.138020,0.145438
snap,-82.984596,2.048687,3.113927,1.826929,4.627238,2.156286,1.219764,0.763215,1.907626,1.276257,1.250005,1.277996,0.810223
snap,-87.525803,3.172395,1.680941,3.881578,4.012842,3.210350,3.528765,1.177399,1.804832,2.211256,1.325648,0.646364,0.631818
snap,-89.021904,5.167968,1.273083,3.191299,4.184515,3.169128,3.277047,1.617161,2.199955,2.219002,1.259584,1.789628,1.420019
snap,-57.792713,1.775125,2.683481,0.798619,4.121370,2.966772,1.657717,1.357506,1.602819,3.092447,1.047824,1.442101,0.673030
snap,-86.294785,2.043980,2.363754,3.287292,4.797346,2.711316,1.636261,1.048477,2.610636,1.330619,1.353420,1.546006,2.332867
snap,-88.581680,5.180475,2.128854,3.086358,4.002109,3.043503,3.113545,1.922242,1.779099,1.899091,1.109885,1.186777,1.322388
snap,-90.149673,4.417081,1.660841,3.806436,3.527987,2.707929,3.628989,1.535129,2.105448,3.016516,1.375907,1.745219,1.676789
snap,-62.822430,4.959214,2.331405,1.037444,2.085698,1.115642,2.337657,2.152910,2.335957,1.272422,1.083287,0.812156,1.029407
snap,-88.382286,3.572041,2.161929,2.655237,3.928778,3.142476,2.454006,2.512152,3.038736,1.626009,1.673503,1.541176,0.203427
snap,-91.776138,2.959724,-0.166135,3.095634,4.520203,2.702960,2.797539,2.322901,2.602075,3.022217,1.734225,1.010376,1.640187
snap,-90.132767,2.449522,0.083251,2.903985,4.109749,3.779966,4.026033,2.082041,2.848801,3.234814,1.518107,1.591780,1.456128
snap,-79.568100,2.469929,-0.611357,0.104711,3.134869,3.314967,1.541322,0.718037,1.961382,1.808551,0.455676,0.538541,1.531461
snap,-88.906395,0.272724,0.780147,2.945490,2.611006,1.994990,2.682680,2.219749,1.837611,1.456104,1.996274,1.264849,1.670352
snap,-88.089493,4.353208,2.524867,4.796306,4.905095,4.427370,4.512159,2.204424,1.582938,2.477230,1.170659,-0.046963,-0.111438
snap,-45.895569,11.937913,8.545466,4.657417,2.340116,0.538105,0.166182,-0.954098,-0.418643,-0.693422,-0.159322,-0.376125,0.020282
snap,-87.382805,3.146333,3.274974,3.007612,4.986318,3.401142,2.312783,1.927317,3.189339,1.781245,1.444470,0.861904,1.814983
snap,-86.970436,0.131117,1.800705,1.886216,2.697252,2.991536,2.266876,1.706910,1.737173,1.657700,0.790608,1.349762,0.967649
snap,-92.371490,3.152338,1.189686,2.388047,3.911306,3.527470,2.587071,1.301916,2.763149,2.138335,1.019126,1.243243,1.151003
snap,-9.904334,6.031007,2.806490,2.645644,5.217478,0.264400,0.968354,1.833526,0.314643,0.303717,-0.544045,-1.520556,0.686216
snap,-88.030792,1.506191,0.471802,1.216161,3.908180,2.496017,1.280341,0.172761,1.825916,0.815218,0.184140,-0.734378,-0.420474
snap,-91.534447,1.886983,-0.600594,1.982885,2.830420,3.349540,3.056499,1.880192,1.375263,2.371923,2.259863,1.684703,2.283780
snap,-91.965370,2.150540,-0.053508,2.482544,3.661523,3.619776,2.802770,1.324794,2.272402,2.355756,1.356945,1.962680,2.189462
snap,-69.377647,5.456841,2.124935,3.415692,5.244874,3.548103,2.473418,1.212302,2.555253,3.296224,2.774633,0.932314,2.174540
snap,-84.080383,5.102479,2.473576,3.384317,3.363424,2.342060,3.056860,2.274921,1.960088,1.655861,2.045208,1.921894,1.680423
snap,-88.063683,3.541216,0.864507,3.993550,3.598794,2.838454,3.340885,1.438258,2.259958,2.722860,1.506787,1.559284,1.244661
snap,-88.283791,3.975112,1.695715,4.139178,4.389617,3.840829,3.800362,2.721792,2.839729,2.417187,1.956350,1.341623,1.794312
